id,gender,age,spend,location,month
0161,F,89,92.98,Florida,oct
0162,F,20,283.58,Washington,feb
0163,M,89,210.83,Pennsylvania,nov
0164,F,34,251.96,Maine,dec
0165,F,93,55.86,California,apr
0166,F,18,201.98,West Virginia,jun
0167,F,82,200.45,Texas,feb
0168,F,23,134.54,California,feb
0169,M,37,121.29,Wisconsin,dec
0170,F,19,251.58,Texas,sep
0171,F,23,61.52,Ohio,aug
0172,F,77,54.14,Pennsylvania,oct
0173,F,23,84.54,Alabama,jul
0174,M,21,158.27,Louisiana,aug
0175,F,19,296.27,Massachusetts,nov
0176,F,56,135.35,Louisiana,apr
0177,F,21,279.08,Colorado,dec
0178,M,50,287.1,Colorado,aug
0179,F,26,215.75,Florida,sep
0180,F,38,207.24,Massachusetts,apr
0181,F,24,82.81,Maryland,nov
0182,M,21,238.4,Michigan,aug
0183,F,72,8.76,Florida,may
0184,F,32,255.79,Alabama,apr
0185,F,30,116.29,Florida,sep
0186,F,24,136.31,South Dakota,apr
0187,M,21,295.15,Michigan,apr
0188,M,79,36.91,California,nov
0189,F,24,117.33,South Carolina,apr
0190,F,29,37.67,California,sep
0191,F,50,77.74,Oklahoma,nov
0192,F,43,77.53,Pennsylvania,nov
0193,M,24,231.41,Mississippi,apr
0194,M,72,68.59,New York,nov
0195,F,21,245.21,Kansas,apr
0196,F,23,159.64,Florida,jul
0197,F,64,46.43,Texas,jun
0198,F,31,17.89,Texas,nov
0199,F,22,51.5,New York,feb
0200,F,39,125.96,New York,sep
0201,M,43,109.04,Colorado,nov
0202,F,46,20.02,Florida,sep
0203,F,18,118.74,California,jan
0204,F,23,61.53,Texas,mar
0205,M,24,287.82,Massachusetts,dec
0206,M,26,267.66,New Jersey,oct
0207,F,48,79.01,Texas,oct
0208,F,85,134.9,California,may
0209,F,37,32.42,Oklahoma,dec
0210,M,90,275.82,Minnesota,dec
0211,M,22,249.46,Indiana,jan
0212,M,23,277.81,North Carolina,dec
0213,M,29,191.67,Colorado,nov
0214,F,45,100.76,New York,jan
0215,F,34,149.77,South Carolina,aug
0216,F,31,251.41,Alabama,oct
0217,F,67,155.52,California,oct
0218,M,49,283.18,Massachusetts,apr
0219,M,40,227.43,New York,apr
0220,F,98,7.44,Georgia,apr
0221,F,55,242.21,Oklahoma,nov
0222,F,58,27.37,Florida,sep
0223,M,99,40.28,Ohio,sep
0224,F,69,20.88,New Jersey,oct
0225,M,75,130.42,Texas,apr
0226,F,23,188.35,California,jun
0227,M,40,10.94,West Virginia,sep
0228,F,95,152.95,Massachusetts,sep
0229,F,20,59.16,Ohio,nov
0230,M,18,154.29,Ohio,mar
0231,M,18,147.33,Florida,dec
0232,F,50,168.96,Mississippi,nov
0233,F,52,232.78,Texas,dec
0234,F,60,222.95,Pennsylvania,dec
0235,F,25,42.63,Illinois,jun
0236,F,44,22.39,Colorado,feb
0237,F,23,6.47,Hawaii,nov
0238,M,23,136.14,Washington,mar
0239,F,21,34.16,Texas,nov
0240,F,21,272.62,North Carolina,oct
0241,F,23,271.76,Virginia,sep
0242,F,19,13.65,Alabama,sep
0243,M,32,6.88,Texas,aug
0244,M,18,44.44,Kentucky,mar
0245,M,24,104.3,Iowa,nov
0246,F,22,5.22,Michigan,nov
0247,F,53,299.51,Arkansas,nov
0248,F,50,253.59,California,feb
0249,F,35,225.07,Nebraska,nov
0250,F,52,138.23,Florida,nov
0251,M,22,9.69,Texas,dec
0252,F,26,70.08,Florida,dec
0253,F,23,108.45,Oklahoma,sep
0254,M,20,65.84,Texas,nov
0255,F,24,178.87,Colorado,oct
0256,F,23,149.09,Florida,nov
0257,F,27,232.54,New York,apr
0258,M,31,177.4,Ohio,feb
0259,F,83,11.31,Pennsylvania,oct
0260,F,22,176.38,Pennsylvania,jun
0261,F,99,132.7,New York,dec
0262,F,24,103.15,Minnesota,jun
0263,F,82,123.48,Indiana,apr
0264,M,19,24.69,California,oct
0265,F,82,146.82,Florida,apr
0266,F,21,280.81,Georgia,jun
0267,F,22,297.62,Texas,apr
0268,F,23,34.37,North Carolina,dec
0269,F,37,142.97,California,feb
0270,M,22,236.5,Indiana,oct
0271,M,24,24.68,Massachusetts,dec
0272,F,22,163.5,Louisiana,mar
0273,M,26,129.41,Georgia,dec
0274,M,96,241.6,Wisconsin,dec
0275,F,19,38.23,Tennessee,jun
0276,M,25,262.96,Georgia,sep
0277,M,20,212.99,Michigan,nov
0278,F,19,164.87,New Jersey,sep
0279,M,45,278.06,California,nov
0280,F,22,251.84,Florida,dec
0281,F,30,89.25,Florida,apr
0282,F,25,241.25,Ohio,nov
0283,F,23,203.41,Alabama,oct
0284,F,76,30.32,Massachusetts,nov
0285,M,43,45.59,Utah,dec
0286,M,53,106.18,New York,oct
0287,F,20,128.58,Pennsylvania,nov
0288,F,24,59.39,Delaware,apr
0289,F,33,218.42,California,nov
0290,M,20,57.16,Connecticut,aug
0291,F,28,265.36,Kentucky,dec
0292,F,52,94.05,Oklahoma,dec
0293,F,22,205.34,Mississippi,dec
0294,F,38,83.01,Maryland,dec
0295,F,21,137.0,Washington,dec
0296,F,51,140.14,Ohio,sep
0297,M,51,159.86,Ohio,nov
0298,F,23,243.38,Mississippi,nov
0299,F,18,276.61,Alabama,feb
0300,F,23,65.67,Maryland,dec
0301,F,25,294.0,Tennessee,apr
0302,M,53,223.12,Nebraska,sep
0303,F,23,239.95,North Carolina,nov
0304,F,45,274.1,Washington,jun
0305,F,43,179.04,Ohio,aug
0306,M,53,295.44,North Carolina,jun
0307,M,18,102.37,Minnesota,sep
0308,M,64,198.04,Indiana,sep
0309,M,21,257.89,Ohio,nov
0310,M,45,221.9,Indiana,mar
0311,M,21,228.0,Florida,nov
0312,M,27,57.73,Illinois,jan
0313,F,21,62.76,Ohio,aug
0314,F,45,136.82,Texas,jul
0315,M,21,202.78,New York,sep
0316,M,20,25.84,Michigan,feb
0317,F,22,42.58,Pennsylvania,oct
0318,M,81,287.22,Texas,dec
0319,F,24,224.77,New Mexico,jan
0320,F,90,184.04,New Jersey,nov
0321,F,85,138.17,North Carolina,sep
0322,M,39,230.03,North Carolina,nov
0323,F,31,95.46,Texas,nov
0324,F,20,284.27,California,dec
0325,F,23,252.19,Missouri,apr
0326,M,78,247.27,South Carolina,dec
0327,F,45,36.75,Arkansas,nov
0328,M,19,130.71,Kansas,nov
0329,F,80,132.72,California,nov
0330,F,20,109.2,Ohio,nov
0331,F,19,282.05,Georgia,jun
0332,F,24,215.12,Utah,aug
0333,M,36,138.19,Texas,nov
0334,F,23,137.37,Texas,oct
0335,F,20,269.27,California,oct
0336,F,55,251.77,Texas,dec
0337,F,92,154.71,California,nov
0338,F,88,31.14,Florida,nov
0339,F,39,212.28,Hawaii,jun
0340,F,74,108.6,Pennsylvania,aug
0341,M,24,58.19,California,nov
0342,M,48,242.51,Virginia,oct
0343,F,18,63.01,Oklahoma,oct
0344,M,55,277.65,Arizona,may
0345,F,33,247.81,Indiana,may
0346,F,19,110.21,California,apr
0347,M,49,235.97,Washington,sep
0348,F,70,249.3,Maryland,jun
0349,F,35,189.99,Virginia,oct
0350,M,52,179.28,Minnesota,sep
0351,M,20,251.33,Nevada,may
0352,F,20,91.49,New York,mar
0353,F,86,141.91,Missouri,feb
0354,M,28,20.64,Indiana,dec
0355,M,24,50.64,North Carolina,sep
0356,M,22,257.02,Texas,jan
0357,F,39,72.01,Texas,feb
0358,F,19,210.12,Texas,aug
0359,M,53,158.08,South Carolina,dec
0360,F,76,183.01,California,oct
0361,F,28,109.27,Florida,nov
0362,F,19,281.0,Maryland,nov
0363,F,52,140.62,Rhode Island,apr
0364,F,51,274.08,Washington,apr
0365,F,29,154.03,Florida,apr
0366,M,30,256.49,Florida,sep
0367,F,88,161.35,Texas,oct
0368,F,42,259.55,Illinois,oct
0369,F,55,162.23,South Dakota,jun
0370,F,47,90.78,Texas,oct
0371,M,33,14.0,Oklahoma,dec
0372,F,39,262.79,California,dec
0373,F,21,218.73,Tennessee,nov
0374,F,71,119.67,California,jul
0375,F,76,104.74,Texas,nov
0376,M,46,20.46,Colorado,aug
0377,F,50,169.44,Minnesota,apr
0378,F,22,145.1,Illinois,dec
0379,M,22,209.96,Iowa,jun
0380,F,24,194.66,California,oct
0381,M,57,279.07,Delaware,sep
0382,M,48,263.03,Pennsylvania,aug
0383,F,98,102.23,New York,may
0384,F,79,83.38,Minnesota,apr
0385,F,43,195.42,Texas,nov
0386,M,71,102.15,Pennsylvania,nov
0387,F,22,163.63,West Virginia,mar
0388,F,18,66.15,Texas,oct
0389,F,20,188.35,Alabama,nov
0390,F,18,220.59,Arizona,dec
0391,F,20,93.33,New Jersey,nov
0392,F,21,6.01,Virginia,apr
0393,F,20,256.29,Michigan,sep
0394,F,95,143.63,Illinois,nov
0395,M,23,283.75,Arizona,dec
0396,F,22,68.33,California,aug
0397,M,23,157.93,Oklahoma,nov
0398,F,18,283.35,Wisconsin,dec
0399,M,23,52.23,Connecticut,sep
0400,F,20,282.44,New York,oct
0401,F,43,231.61,New Jersey,feb
0402,M,30,21.31,Missouri,sep
0403,F,72,59.36,Connecticut,dec
0404,F,21,80.51,Florida,sep
0405,M,57,164.98,Pennsylvania,nov
0406,F,24,280.36,South Carolina,nov
0407,F,18,77.04,Kansas,nov
0408,F,76,250.51,Oklahoma,feb
0409,F,45,136.49,Georgia,aug
0410,F,23,224.67,Virginia,apr
0411,F,24,204.04,Indiana,apr
0412,F,20,216.93,Ohio,dec
0413,F,77,90.81,Nevada,apr
0414,M,23,186.67,New York,oct
0415,M,21,241.5,Texas,apr
0416,M,37,176.89,Georgia,apr
0417,F,19,30.45,Tennessee,dec
0418,F,69,37.49,California,nov
0419,F,20,234.29,Texas,aug
0420,M,21,285.6,New Jersey,jun
0421,F,93,88.99,California,sep
0422,M,24,263.34,Maryland,apr
0423,F,33,246.86,Illinois,nov
0424,F,92,285.29,Tennessee,jan
0425,F,22,12.09,California,apr
0426,F,21,254.16,Michigan,nov
0427,F,71,298.3,Kentucky,aug
0428,M,86,231.11,Florida,nov
0429,F,24,232.87,Virginia,dec
0430,F,21,224.3,New York,nov
0431,M,39,34.48,Georgia,apr
0432,F,21,273.71,Oregon,apr
0433,F,22,188.14,Pennsylvania,oct
0434,F,97,6.31,Missouri,dec
0435,F,21,90.71,South Carolina,oct
0436,F,23,206.41,Ohio,mar
0437,F,98,290.47,California,oct
0438,F,19,39.46,Texas,dec
0439,F,48,92.91,California,dec
0440,F,33,143.4,Illinois,oct
0441,F,23,141.05,California,nov
0442,F,89,51.13,California,sep
0443,F,54,219.74,California,aug
0444,F,58,199.83,Florida,jan
0445,F,26,277.31,Alaska,aug
0446,M,69,239.12,Texas,nov
0447,F,31,99.41,Texas,dec
0448,F,23,79.62,California,dec
0449,F,49,200.55,Maryland,nov
0450,F,21,153.91,Indiana,feb
0451,F,30,80.47,Washington,jun
0452,F,31,222.17,Ohio,oct
0453,F,36,102.6,New York,aug
0454,F,37,13.24,Texas,feb
0455,F,19,84.78,Kansas,nov
0456,M,19,220.19,Florida,nov
0457,F,48,43.99,California,apr
0458,F,22,23.95,Pennsylvania,sep
0459,F,54,160.09,Illinois,nov
0460,M,19,241.78,New Jersey,nov
0461,F,82,110.38,Florida,nov
0462,F,30,295.41,New Mexico,sep
0463,M,29,179.42,New Mexico,jan
0464,F,88,126.42,Massachusetts,nov
0465,M,32,198.86,Maryland,mar
0466,M,21,218.62,Hawaii,oct
0467,F,20,129.06,Missouri,oct
0468,F,19,165.17,North Dakota,oct
0469,M,40,234.88,Texas,nov
0470,M,18,47.37,Virginia,dec
0471,M,34,237.45,North Carolina,feb
0472,F,19,96.13,South Carolina,feb
0473,M,24,180.68,New Jersey,dec
0474,F,24,133.23,Colorado,nov
0475,F,21,6.65,Texas,nov
0476,F,24,64.21,Arizona,dec
0477,F,27,99.81,Texas,apr
0478,M,20,118.79,Georgia,dec
0479,F,86,41.14,West Virginia,nov
0480,F,33,96.31,New Jersey,oct
0481,M,32,66.6,New York,dec
0482,F,46,23.76,Texas,may
0483,F,21,256.11,Ohio,nov
0484,F,82,271.47,Kansas,aug
0485,M,68,71.22,Pennsylvania,nov
0486,M,24,224.4,Michigan,apr
0487,F,83,273.13,New York,apr
0488,F,24,289.39,Pennsylvania,oct
0489,M,43,123.26,Minnesota,dec
0490,F,43,30.11,Michigan,apr
0491,F,68,60.43,South Carolina,nov
0492,F,81,202.85,Pennsylvania,dec
0493,F,31,294.61,New York,nov
0494,F,46,64.25,Florida,dec
0495,F,24,223.41,Florida,dec
0496,M,40,201.41,Oklahoma,dec
0497,F,91,271.48,Florida,dec
0498,F,91,249.84,Louisiana,dec
0499,M,20,247.93,California,jan
0500,F,23,29.77,Alabama,jan
0501,M,22,244.87,Texas,nov
0502,F,24,59.06,Washington,apr
0503,F,24,25.75,Missouri,nov
0504,F,95,224.14,California,dec
0505,F,39,245.4,Oregon,dec
0506,M,28,210.5,Ohio,sep
0507,F,68,281.87,Wisconsin,nov
0508,F,71,13.46,Wisconsin,sep
0509,M,31,161.01,Kentucky,dec
0510,M,34,75.39,California,nov
0511,F,47,214.23,Florida,dec
0512,M,61,143.26,Missouri,sep
0513,F,23,283.64,New York,aug
0514,F,20,177.59,Georgia,feb
0515,F,29,216.9,Ohio,dec
0516,F,64,57.12,Georgia,sep
0517,F,58,247.31,Colorado,dec
0518,F,46,282.19,Georgia,sep
0519,M,25,86.69,California,nov
0520,F,23,153.3,Michigan,dec
0521,F,71,74.15,Ohio,dec
0522,M,76,155.74,New Mexico,nov
0523,F,54,255.84,California,apr
0524,F,18,185.32,Texas,apr
0525,F,47,169.74,Illinois,may
0526,M,24,159.69,Oregon,oct
0527,F,27,142.93,Florida,dec
0528,M,18,191.0,Georgia,nov
0529,M,18,241.7,Ohio,sep
0530,M,95,36.34,Texas,jun
0531,F,24,223.51,North Carolina,dec
0532,M,57,269.4,Florida,sep
0533,F,23,145.39,Texas,apr
0534,F,77,159.04,California,dec
0535,F,39,229.19,Tennessee,feb
0536,F,21,65.3,Kentucky,feb
0537,F,23,157.81,Texas,oct
0538,M,19,43.65,Pennsylvania,nov
0539,M,22,30.73,Florida,apr
0540,F,22,256.76,Pennsylvania,dec
0541,F,20,187.63,Massachusetts,feb
0542,F,34,16.0,New Hampshire,dec
0543,F,30,147.8,California,nov
0544,M,38,39.44,Oklahoma,nov
0545,F,19,128.17,Florida,jun
0546,F,42,212.67,New York,dec
0547,F,39,16.95,Oregon,feb
0548,F,18,211.32,Tennessee,oct
0549,M,65,132.56,California,apr
0550,M,44,126.26,Washington,may
0551,F,21,180.43,California,dec
0552,F,19,240.15,Texas,oct
0553,M,81,67.57,Wisconsin,dec
0554,M,19,80.87,Michigan,sep
0555,F,55,258.77,Illinois,nov
0556,F,19,68.0,Texas,dec
0557,F,45,172.37,Missouri,nov
0558,M,24,226.49,California,apr
0559,M,68,245.52,Louisiana,dec
0560,M,92,228.67,Massachusetts,feb
0561,F,84,29.71,California,aug
0562,M,92,261.93,Florida,dec
0563,M,20,258.85,North Carolina,apr
0564,M,41,80.74,New Jersey,oct
0565,F,22,189.03,Texas,dec
0566,M,86,140.99,Alabama,nov
0567,M,73,7.4,Indiana,may
0568,M,65,243.33,New York,oct
0569,F,25,124.89,Alabama,nov
0570,F,58,201.2,Ohio,apr
0571,M,26,115.42,California,aug
0572,M,67,264.33,Georgia,nov
0573,F,42,136.59,Texas,dec
0574,F,19,289.07,Arizona,oct
0575,M,24,105.78,Illinois,dec
0576,F,26,31.35,Indiana,sep
0577,F,93,249.55,Washington,apr
0578,F,48,156.08,Michigan,dec
0579,M,44,189.31,Wisconsin,apr
0580,F,21,269.66,Ohio,sep
0581,M,51,107.86,Texas,dec
0582,M,42,282.52,Illinois,nov
0583,F,40,215.8,Alabama,feb
0584,M,60,74.71,Illinois,dec
0585,F,21,45.64,Georgia,oct
0586,F,53,169.96,Texas,dec
0587,F,24,186.76,New York,dec
0588,M,21,185.51,North Carolina,sep
0589,M,38,152.96,Connecticut,dec
0590,F,20,106.33,Washington,feb
0591,F,85,144.12,New York,dec
0592,M,50,179.32,New Jersey,apr
0593,M,36,66.25,Tennessee,dec
0594,M,35,150.38,Louisiana,aug
0595,F,27,21.31,Florida,nov
0596,M,86,255.03,North Dakota,jul
0597,F,71,172.46,New York,oct
0598,F,30,68.21,New Mexico,oct
0599,F,18,214.5,Massachusetts,apr
0600,F,95,284.31,Massachusetts,apr
0601,M,41,52.23,Illinois,nov
0602,M,80,121.09,Michigan,aug
0603,F,20,277.71,Arizona,oct
0604,F,24,57.23,Pennsylvania,mar
0605,M,29,125.21,North Dakota,apr
0606,F,70,30.49,New Hampshire,jun
0607,F,43,189.7,Michigan,oct
0608,F,28,185.78,Michigan,feb
0609,M,18,99.13,Arizona,apr
0610,F,23,23.4,Nevada,oct
0611,M,87,177.18,Massachusetts,oct
0612,M,19,7.87,Washington,feb
0613,F,76,215.14,Indiana,nov
0614,M,92,196.11,Maryland,apr
0615,F,21,120.6,Florida,nov
0616,F,39,66.46,Massachusetts,dec
0617,F,51,261.78,Maryland,mar
0618,F,97,222.01,Washington,sep
0619,M,34,68.55,Washington,feb
0620,M,24,12.11,California,may
0621,F,22,257.62,Tennessee,nov
0622,M,23,207.2,Missouri,dec
0623,F,94,203.72,Wisconsin,oct
0624,M,25,167.86,Texas,sep
0625,F,22,149.12,Mississippi,feb
0626,F,32,224.94,Wisconsin,dec
0627,F,25,165.25,Indiana,feb
0628,F,57,132.94,Wyoming,feb
0629,F,19,80.1,Tennessee,oct
0630,M,68,12.07,New Jersey,sep
0631,M,23,157.37,New York,dec
0632,M,20,145.67,Pennsylvania,apr
0633,M,25,80.89,New Jersey,apr
0634,M,31,283.62,California,dec
0635,F,24,245.37,Arkansas,feb
0636,F,74,22.17,Ohio,aug
0637,M,45,227.99,Florida,jul
0638,F,19,61.49,Michigan,nov
0639,F,18,264.44,Arizona,jun
0640,F,88,158.84,Michigan,apr
0641,F,34,230.98,Virginia,nov
0642,F,18,251.23,Mississippi,nov
0643,M,25,170.92,Texas,oct
0644,F,86,191.63,Minnesota,jan
0645,F,65,179.63,Ohio,nov
0646,M,22,63.62,New York,nov
0647,F,22,146.77,Pennsylvania,apr
0648,F,29,49.79,Texas,feb
0649,F,46,168.31,Louisiana,jun
0650,M,19,122.62,Pennsylvania,nov
0651,F,24,49.95,Maryland,sep
0652,F,65,232.16,Tennessee,sep
0653,F,49,70.63,Michigan,may
0654,F,98,24.98,Illinois,oct
0655,F,36,242.53,Illinois,oct
0656,F,29,263.48,Texas,nov
0657,F,25,131.76,California,oct
0658,M,20,104.07,Pennsylvania,feb
0659,F,63,128.43,Georgia,nov
0660,F,52,145.96,Alabama,oct
0661,M,22,232.91,Massachusetts,oct
0662,F,94,236.16,California,dec
0663,F,62,110.5,South Dakota,nov
0664,F,47,281.84,Missouri,dec
0665,M,87,276.2,Texas,apr
0666,M,23,105.67,Kentucky,dec
0667,F,21,235.92,Florida,feb
0668,F,49,88.45,California,nov
0669,F,28,208.03,South Dakota,aug
0670,F,46,48.61,Louisiana,jul
0671,M,24,100.31,Illinois,feb
0672,F,98,86.61,Texas,dec
0673,M,52,67.43,Idaho,sep
0674,F,29,34.92,Indiana,aug
0675,M,38,22.31,California,jan
0676,F,44,274.47,North Dakota,jan
0677,F,22,85.05,Massachusetts,aug
0678,F,31,45.6,South Dakota,feb
0679,M,18,278.79,South Carolina,sep
0680,F,24,113.4,California,aug
0681,F,18,159.11,South Carolina,dec
0682,F,20,110.83,Virginia,apr
0683,F,35,168.96,California,jan
0684,F,83,7.08,California,nov
0685,F,20,289.35,New York,nov
0686,F,22,183.72,Illinois,feb
0687,F,98,19.33,Texas,mar
0688,F,72,263.25,Iowa,jan
0689,F,72,229.56,Georgia,nov
0690,M,19,288.69,Washington,apr
0691,F,38,113.34,California,dec
0692,M,28,101.79,California,nov
0693,M,27,263.23,Texas,jul
0694,F,22,13.14,Georgia,dec
0695,M,66,67.15,Texas,may
0696,F,56,114.35,Virginia,nov
0697,F,20,75.39,Alabama,aug
0698,F,40,18.17,West Virginia,aug
0699,F,26,182.86,New Mexico,apr
0700,F,20,163.68,Arkansas,nov
0701,F,20,13.17,Iowa,oct
0702,F,82,128.67,California,dec
0703,M,24,32.99,New York,dec
0704,M,91,154.29,Virginia,dec
0705,M,19,125.6,New York,apr
0706,F,74,189.71,New Jersey,oct
0707,F,23,119.94,Washington,mar
0708,F,19,140.56,Oklahoma,nov
0709,F,21,279.14,Oregon,mar
0710,F,71,278.9,Pennsylvania,nov
0711,F,31,136.2,California,apr
0712,M,87,280.6,New York,nov
0713,F,21,116.2,North Carolina,jul
0714,F,18,190.88,New Jersey,oct
0715,F,31,33.08,Alabama,nov
0716,F,50,139.05,Minnesota,nov
0717,F,21,77.17,Vermont,nov
0718,F,22,284.5,Missouri,nov
0719,F,23,249.41,Florida,oct
0720,M,41,82.15,South Carolina,apr
0721,F,24,12.22,New York,dec
0722,F,19,261.08,North Carolina,sep
0723,F,22,298.61,North Carolina,sep
0724,M,53,193.42,Colorado,dec
0725,F,81,227.01,Illinois,nov
0726,F,83,185.42,California,oct
0727,F,94,92.09,Arizona,may
0728,F,19,103.74,New York,nov
0729,M,35,34.52,Texas,oct
0730,F,39,282.02,Florida,feb
0731,F,67,181.41,Illinois,may
0732,M,41,264.37,Ohio,oct
0733,F,29,195.76,New York,oct
0734,F,23,205.08,New York,jul
0735,M,69,175.37,Massachusetts,dec
0736,M,44,203.43,New York,feb
0737,F,54,185.47,Michigan,sep
0738,F,22,150.48,Wisconsin,nov
0739,M,21,17.59,Oklahoma,may
0740,F,24,263.44,Virginia,nov
0741,F,23,256.68,New York,feb
0742,F,63,10.0,Florida,mar
0743,F,54,74.24,Wisconsin,nov
